text,p_label,g_label,origin,sterilized_text,cleaned_text,pred_g_label,reasons_g_label
"It shall be prohibited to retain on board, tranship or land such stock caught by those vessels after that date. Article 3. Entry into force. This Regulation shall enter into force on the day following that of its publication in the Official Journal of the European Union. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 9 October 2007.",,False,10,it shall be prohibited to retain on board tranship or land such stock caught by those vessels after that date article entry into force this regulation shall enter into force on the day following that of its publication in the official journal of the european union this regulation shall be binding in its entirety and directly applicable in all member states done at brussels october,"It shall be prohibited to retain on board, tranship or land such stock caught by those vessels after that date. Article 3. Entry into force. This Regulation shall enter into force on the day following that of its publication in the Official Journal of the European Union. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 9 October 2007.",1,"['Overly Formal Tone', 'Predictable Structure', 'Technical Jargon', 'Generic Content']"
She loves it and said it was very easy to use. She loves the colors and the design of it. Highly recommend this product!,,True,10,she loves it and said it was very easy to use she loves the colors and the design of it highly recommend this product,She loves it and said it was very easy to use. She loves the colors and the design of it. Highly recommend this product!,0,"['Emotional Language', 'Colloquialisms', 'Specific Detail']"
"The test article was tested according to the OECD guideline 487A and was found positive in the test article. 4.6 A repeated dose study with PCP following single oral administration (10 mg/kg) was carried out for mice by Dr. M. J. E. de Rooij, Ghent University Medical Center, Belgium. No relevant effects were observed on body weight gain or food consumption compared to control animals during the observation period of 28 days. No signs of toxicity were noted. 4.",,True,10,the test article was tested according to the oecd guideline 487a and was found positive in the test article a repeated dose study with pcp following single oral administration mg kg was carried out for mice by dr m j e de rooij ghent university medical center belgium no relevant effects were observed on body weight gain or food consumption compared to control animals during the observation period of days no signs of toxicity were noted,"The test article was tested according to the OECD guideline 487A and was found positive in the test article. 4.6 A repeated dose study with PCP following single oral administration (10 mg/kg) was carried out for mice by Dr. M. J. E. de Rooij, Ghent University Medical Center, Belgium. No relevant effects were observed on body weight gain or food consumption compared to control animals during the observation period of 28 days. No signs of toxicity were noted. 4.",1,"['Technical Jargon', 'Overly Formal Tone', 'Predictable Structure', 'Lack of Typos']"
"G morning All What about my rent?. I said Im sorry. Im gonna have to come up with something, though",,True,10,g morning all what about my rent i said i am sorry i am going to have to come up with something though,"G morning All What about my rent?. I said Im sorry. Im gonna have to come up with something, though",0,"['Colloquialisms', 'Slang Usage', 'Emotional Language']"
"@LauStack hahaha i couldnt helt it!!! but as far as im concerned,,, it never happend xx",,False,10,laustack hahaha i could not helt it but as far as i am concerned it never happend xx,"@LauStack hahaha i couldnt helt it!!! but as far as im concerned,,, it never happend xx",0,"['Colloquialisms', 'Slang Usage', 'Emotional Language', 'Formatting Errors']"
@Sabri32 haha yeah!!! those were fun times for our stuco retreat awww im sad i didnt get to have one my senior year,,False,10,sabri32 haha yeah those were fun times for our stuco retreat awww i am sad i did not get to have one my senior year,@Sabri32 haha yeah!!! those were fun times for our stuco retreat awww im sad i didnt get to have one my senior year,0,"['Colloquialisms', 'Slang Usage', 'Emotional Language', 'Personal Anecdotes']"
"We are forced to admit that it is not only a Leftist book but that it belongs to a Leftist school of thought, which, in its relation to the Left, is not very different from the Right. It is not, therefore, surprising that it has been a great success on the left. The book is written by the historian Peter Paret who is a professor of history at",,True,10,we are forced to admit that it is not only a leftist book but that it belongs to a leftist school of thought which in its relation to the left is not very different from the right it is not therefore surprising that it has been a great success on the left the book is written by the historian peter paret who is a professor of history at,"We are forced to admit that it is not only a Leftist book but that it belongs to a Leftist school of thought, which, in its relation to the Left, is not very different from the Right. It is not, therefore, surprising that it has been a great success on the left. The book is written by the historian Peter Paret who is a professor of history at",0,"['Personal Anecdotes', 'Specific Detail', 'Emotional Language']"
". Paragraph 1.2., amend to read: 1.2. (i) a contact pressure of not less than 3 bar, which may be reduced by means of a separate float valve. (ii) the location of each sensor within an element or assembly that will affect its reliability and lifetime. (iii) The temperature range from 0°C (0°F) to +50 °C (+105 °F). (iv) One single inlet for fluid into a housing of at least one control device",,True,10,paragraph amend to read i a contact pressure of not less than bar which may be reduced by means of a separate float valve ii the location of each sensor within an element or assembly that will affect its reliability and lifetime iii the temperature range from 0c 0f to c f iv one single inlet for fluid into a housing of at least one control device,". Paragraph 1.2., amend to read: 1.2. (i) a contact pressure of not less than 3 bar, which may be reduced by means of a separate float valve. (ii) the location of each sensor within an element or assembly that will affect its reliability and lifetime. (iii) The temperature range from 0C (0F) to +50 C (+105 F). (iv) One single inlet for fluid into a housing of at least one control device",1,"['Overly Formal Tone', 'Technical Jargon', 'Predictable Structure', 'Lack of Typos']"
"A bloodsoaked package containing a human foot was delivered to the offices of Prime Minister Stephen Harpers Conservative Party on Tuesday. The second package, containing a hand, was found by police on Tuesday night. That parcel was addressed to the Ottawa office of the Liberal Party, Canadian media reports. Montreal police told the BBC that they believed the torso and the limbs were from the same body, but were waiting for test results to confirm this. Mr Magnotta, who was",,False,10,a bloodsoaked package containing a human foot was delivered to the offices of prime minister stephen harpers conservative party on tuesday the second package containing a hand was found by police on tuesday night that parcel was addressed to the ottawa office of the liberal party canadian media reports montreal police told the bbc that they believed the torso and the limbs were from the same body but were waiting for test results to confirm this mr magnotta who was,"A bloodsoaked package containing a human foot was delivered to the offices of Prime Minister Stephen Harpers Conservative Party on Tuesday. The second package, containing a hand, was found by police on Tuesday night. That parcel was addressed to the Ottawa office of the Liberal Party, Canadian media reports. Montreal police told the BBC that they believed the torso and the limbs were from the same body, but were waiting for test results to confirm this. Mr Magnotta, who was",0,"['Specific Detail', 'Emotional Language', 'Abrupt Topic Shifts']"
"There are some things that I dont like about it, but overall a well written and interesting read. The story of the British in colonial Africa was never told before, especially not by African historians who were often turned off by its reliance on narrative rather than facts. This is a very valuable book which brings to light the many aspects of this dark period with great clarity and precision. It is also",,True,10,there are some things that i do not like about it but overall a well written and interesting read the story of the british in colonial africa was never told before especially not by african historians who were often turned off by its reliance on narrative rather than facts this is a very valuable book which brings to light the many aspects of this dark period with great clarity and precision it is also,"There are some things that I dont like about it, but overall a well written and interesting read. The story of the British in colonial Africa was never told before, especially not by African historians who were often turned off by its reliance on narrative rather than facts. This is a very valuable book which brings to light the many aspects of this dark period with great clarity and precision. It is also",0,"['Personal Anecdotes', 'Emotional Language', 'Specific Detail']"
"Article 1. The corrective amount referred to in Article 1(1)(a), (b) and (c) of Regulation (EEC) No 1766/92 which is applicable to the export refunds fixed in advance in respect of the products referred to, except for malt, is hereby altered to the amounts set out in the Annex hereto. Article 2. This Regulation shall enter into force on 1 November 2001. This Regulation shall be binding in its entirety and directly applicable in",,False,10,article the corrective amount referred to in article a b and c of regulation eec no which is applicable to the export refunds fixed in advance in respect of the products referred to except for malt is hereby altered to the amounts set out in the annex hereto article this regulation shall enter into force on november this regulation shall be binding in its entirety and directly applicable in,"Article 1. The corrective amount referred to in Article 1(1)(a), (b) and (c) of Regulation (EEC) No 1766/92 which is applicable to the export refunds fixed in advance in respect of the products referred to, except for malt, is hereby altered to the amounts set out in the Annex hereto. Article 2. This Regulation shall enter into force on 1 November 2001. This Regulation shall be binding in its entirety and directly applicable in",1,"['Overly Formal Tone', 'Technical Jargon', 'Predictable Structure', 'Unnatural Phrasing']"
Article 1. Annex I to Regulation (EC) No 1030/2003 is hereby amended in accordance with the Annex to this Regulation. Article 2. This Regulation shall enter into force on the day following that of its publication in the Official Journal of the,,False,10,article annex i to regulation ec no is hereby amended in accordance with the annex to this regulation article this regulation shall enter into force on the day following that of its publication in the official journal of the,Article 1. Annex I to Regulation (EC) No 1030/2003 is hereby amended in accordance with the Annex to this Regulation. Article 2. This Regulation shall enter into force on the day following that of its publication in the Official Journal of the,1,"['Overly Formal Tone', 'Predictable Structure', 'Technical Jargon', 'Generic Content']"
"Mr Abse, a gay rights champion and exLabour MP, died in 2008, aged 91. Last year, police said they were investigating allegations Mr Thomas a Labour MP and exCommons Speaker who died in 1997 abused a boy, aged 9. The Sunday Times reported that the fresh claims are understood to have been passed to officers",,False,10,mr abse a gay rights champion and exlabour mp died in aged last year police said they were investigating allegations mr thomas a labour mp and excommons speaker who died in abused a boy aged the sunday times reported that the fresh claims are understood to have been passed to officers,"Mr Abse, a gay rights champion and exLabour MP, died in 2008, aged 91. Last year, police said they were investigating allegations Mr Thomas a Labour MP and exCommons Speaker who died in 1997 abused a boy, aged 9. The Sunday Times reported that the fresh claims are understood to have been passed to officers",0,"['Specific Detail', 'Personal Anecdotes', 'Emotional Language']"
"I am totally amazed by the amount of detail in the book. The photographs are excellent and the book provides excellent information on the city and its surrounding areas. The book is well laid out and the maps are clear and readable. I had previously purchased the Lonely Planet Thailand and found that it was to my liking. However, I found the Lonely Planet to be a bit too instant on information",,True,10,i am totally amazed by the amount of detail in the book the photographs are excellent and the book provides excellent information on the city and its surrounding areas the book is well laid out and the maps are clear and readable i had previously purchased the lonely planet thailand and found that it was to my liking however i found the lonely planet to be a bit too instant on information,"I am totally amazed by the amount of detail in the book. The photographs are excellent and the book provides excellent information on the city and its surrounding areas. The book is well laid out and the maps are clear and readable. I had previously purchased the Lonely Planet Thailand and found that it was to my liking. However, I found the Lonely Planet to be a bit too instant on information",0,"['Emotional Language', 'Personal Anecdotes', 'Specific Detail', 'Colloquialisms']"
"She said the changes would ensure the safety and security of all New Zealanders. I have no doubt that I can continue to lead the department to achieve a worldclass service with a strong focus on service improvement, she said. Continued support from the public will help the public trust the integrity of our policing. Ms Archuleta said the changes would ensure the safety and security of all New Zealanders. It",,True,10,she said the changes would ensure the safety and security of all new zealanders i have no doubt that i can continue to lead the department to achieve a worldclass service with a strong focus on service improvement she said continued support from the public will help the public trust the integrity of our policing ms archuleta said the changes would ensure the safety and security of all new zealanders it,"She said the changes would ensure the safety and security of all New Zealanders. I have no doubt that I can continue to lead the department to achieve a worldclass service with a strong focus on service improvement, she said. Continued support from the public will help the public trust the integrity of our policing. Ms Archuleta said the changes would ensure the safety and security of all New Zealanders. It",1,"['Repetitive Phrases', 'Unnatural Phrasing', 'Overly Formal Tone']"
"Rather annoyed that my apartment is not ready to move in, I took a look at the new address and found out it was",,True,10,rather annoyed that my apartment is not ready to move in i took a look at the new address and found out it was,"Rather annoyed that my apartment is not ready to move in, I took a look at the new address and found out it was",0,"['Emotional Language', 'Colloquialisms', 'Abrupt Topic Shifts']"
The forecast balance quantities in the rice sector benefiting from the exemption from import duty on products coming from third countries or benefiting from Community aid shall be established in accordance with the following rules: 1. The forecast balance quantity shall be established on the basis of the estimated requirements of the Community for the following year and the expected import volumes from third countries. 2. The forecast balance quantity shall not exceed the quantity necessary to cover the estimated requirements of the Community for the following year.,,True,10,the forecast balance quantities in the rice sector benefiting from the exemption from import duty on products coming from third countries or benefiting from community aid shall be established in accordance with the following rules the forecast balance quantity shall be established on the basis of the estimated requirements of the community for the following year and the expected import volumes from third countries the forecast balance quantity shall not exceed the quantity necessary to cover the estimated requirements of the community for the following year,The forecast balance quantities in the rice sector benefiting from the exemption from import duty on products coming from third countries or benefiting from Community aid shall be established in accordance with the following rules: 1. The forecast balance quantity shall be established on the basis of the estimated requirements of the Community for the following year and the expected import volumes from third countries. 2. The forecast balance quantity shall not exceed the quantity necessary to cover the estimated requirements of the Community for the following year.,1,"['Overly Formal Tone', 'Technical Jargon', 'Predictable Structure', 'Unnatural Phrasing']"
@christrahan @vnangia thanks. Shes getting a mediport installed so she can recv chemo easier and connect to the Matrix,,False,10,christrahan vnangia thanks she is getting a mediport installed so she can recv chemo easier and connect to the matrix,@christrahan @vnangia thanks. Shes getting a mediport installed so she can recv chemo easier and connect to the Matrix,0,"['Colloquialisms', 'Slang Usage', 'Emotional Language']"
Well organized and presented.,,True,10,well organized and presented,Well organized and presented.,0,"['Colloquialisms', 'Emotional Language']"
"If you have a mushroom, you can skip the trip up the mountain. Stop when you see the top of the ramp ahead of you. Angle your bike to the right and mushroom boost your way up over the rails. Youll land facing the wrong direction. Turn around to face the ramp. The narrow bridge is an excellent place to drop fake item boxes and similar booby traps. Save these items for this spot unless youre behind and trying to collect something more useful. The end of the",,False,10,if you have a mushroom you can skip the trip up the mountain stop when you see the top of the ramp ahead of you angle your bike to the right and mushroom boost your way up over the rails you will land facing the wrong direction turn around to face the ramp the narrow bridge is an excellent place to drop fake item boxes and similar booby traps save these items for this spot unless you are behind and trying to collect something more useful the end of the,"If you have a mushroom, you can skip the trip up the mountain. Stop when you see the top of the ramp ahead of you. Angle your bike to the right and mushroom boost your way up over the rails. Youll land facing the wrong direction. Turn around to face the ramp. The narrow bridge is an excellent place to drop fake item boxes and similar booby traps. Save these items for this spot unless youre behind and trying to collect something more useful. The end of the",0,"['Colloquialisms', 'Slang Usage', 'Emotional Language', 'Specific Detail']"
The invisible rash is. unbelieveably itchy. It comes and goes and I have no idea why Dunno if its the sun. I,,False,10,the invisible rash is unbelieveably itchy it comes and goes and i have no idea why do not know if its the sun i,The invisible rash is. unbelieveably itchy. It comes and goes and I have no idea why Dunno if its the sun. I,0,"['Colloquialisms', 'Slang Usage', 'Emotional Language', 'Specific Detail']"
Article 1 This Regulation lays down rules for the marketing of common wheat and durum wheat. Article 2 1. Common wheat and durum wheat may be marketed in the Community in accordance with the provisions of this Regulation. 2. The marketing standards for common wheat and durum wheat are set out in Annexes I and II. Article 3 1. Common wheat and durum wheat intended for sale shall comply with the marketing standards laid down,,True,10,article this regulation lays down rules for the marketing of common wheat and durum wheat article common wheat and durum wheat may be marketed in the community in accordance with the provisions of this regulation the marketing standards for common wheat and durum wheat are set out in annexes i and ii article common wheat and durum wheat intended for sale shall comply with the marketing standards laid down,Article 1 This Regulation lays down rules for the marketing of common wheat and durum wheat. Article 2 1. Common wheat and durum wheat may be marketed in the Community in accordance with the provisions of this Regulation. 2. The marketing standards for common wheat and durum wheat are set out in Annexes I and II. Article 3 1. Common wheat and durum wheat intended for sale shall comply with the marketing standards laid down,1,"['Predictable Structure', 'Overly Formal Tone', 'Repetitive Phrases', 'Uniform Punctuation']"
"The dog had escaped from a home in Sleaford Road, and police were on their way there. A spokesman for City Hall said: The Dogs On The Street team is working with local officers as part of our community response plan which we are committed to delivering on every day. We will continue to work closely with the emergency services agencies that operate within the area where they need help.. The dog’s owner has been given an obligation notice – she must remove the animal by 1pm tomorrow or",,True,10,the dog had escaped from a home in sleaford road and police were on their way there a spokesman for city hall said the dogs on the street team is working with local officers as part of our community response plan which we are committed to delivering on every day we will continue to work closely with the emergency services agencies that operate within the area where they need help the dogs owner has been given an obligation notice she must remove the animal by 1pm tomorrow or,"The dog had escaped from a home in Sleaford Road, and police were on their way there. A spokesman for City Hall said: The Dogs On The Street team is working with local officers as part of our community response plan which we are committed to delivering on every day. We will continue to work closely with the emergency services agencies that operate within the area where they need help.. The dogs owner has been given an obligation notice  she must remove the animal by 1pm tomorrow or",1,"['Overly Formal Tone', 'Unnatural Phrasing', 'Generic Content', 'Under-Explanation']"
"Article 1. For the permanent tender opened by Regulation (EC) No 581/2004, for the tendering period ending on 15 April 2008 no export refund shall be granted for the products and destinations referred to in Article 1(1) of that Regulation. Article 2. This Regulation shall enter into force on 18 April 2008. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 17 April 2008.",,False,10,article for the permanent tender opened by regulation ec no for the tendering period ending on april no export refund shall be granted for the products and destinations referred to in article of that regulation article this regulation shall enter into force on april this regulation shall be binding in its entirety and directly applicable in all member states done at brussels april,"Article 1. For the permanent tender opened by Regulation (EC) No 581/2004, for the tendering period ending on 15 April 2008 no export refund shall be granted for the products and destinations referred to in Article 1(1) of that Regulation. Article 2. This Regulation shall enter into force on 18 April 2008. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 17 April 2008.",0,"['Domain-Specific Knowledge', 'Technical Jargon', 'Uniform Punctuation']"
"A company called Atari made the game in 1982 but it was a flop and is famously thought of as one of the worst video games ever made. Its thought Atari could have dumped millions of unsold copies in a landfill site in September 1983. Presented by Gordon Sinclair from retro gaming event Play Blackpool. 1. Cassette 50, Z50 Spectrum published by Cascade Games Ltd. 2. Rise of the Robots, Amiga published by Time Warner Interactive. 3",,False,10,a company called atari made the game in but it was a flop and is famously thought of as one of the worst video games ever made its thought atari could have dumped millions of unsold copies in a landfill site in september presented by gordon sinclair from retro gaming event play blackpool cassette z50 spectrum published by cascade games ltd rise of the robots amiga published by time warner interactive,"A company called Atari made the game in 1982 but it was a flop and is famously thought of as one of the worst video games ever made. Its thought Atari could have dumped millions of unsold copies in a landfill site in September 1983. Presented by Gordon Sinclair from retro gaming event Play Blackpool. 1. Cassette 50, Z50 Spectrum published by Cascade Games Ltd. 2. Rise of the Robots, Amiga published by Time Warner Interactive. 3",0,"['Colloquialisms', 'Specific Detail', 'Personal Anecdotes']"
i am goin out to do the avon and goin up the hospital to see my mum bf great grandad as,,False,10,i am goin out to do the avon and goin up the hospital to see my mum bf great grandad as,i am goin out to do the avon and goin up the hospital to see my mum bf great grandad as,0,"['Colloquialisms', 'Slang Usage', 'Emotional Language', 'Specific Detail']"
